Step #1 --------------------
Particle | Position (X) | Position (Y) | Velocity (X) | Velocity (Y) | Acceler. (X) | Acceler. (Y) |
Particle | Position (X) | Velocity (X) | Acceler. (X) |
      12 | 9.178807e+00 | 6.404170e+00 |-2.775905e+00 | 1.413732e+00 | 1.743355e-01 |-2.989030e-01 |
      13 | 9.838074e+00 | 9.112597e+00 | 6.902828e+00 | 2.729488e+00 | 4.144781e+00 |-4.628338e-02 |
      14 | 4.647976e+00 | 3.371680e+00 |-6.409466e+00 |-5.135535e+00 | 1.187585e+00 |-2.377465e-01 |
      15 | 7.111687e+00 | 2.711563e-01 | 2.710768e-01 | 3.956984e-01 |-6.784148e+00 |-5.086278e+00 |
      16 | 8.520992e+00 | 7.845587e+00 |-5.102907e-01 | 1.370535e+00 |-7.924962e+00 |-2.921448e+01 |
      17 | 7.501988e+00 | 8.972579e+00 | 2.627070e+00 |-8.319856e-01 | 2.631779e+00 | 1.048135e+00 |
      18 | 6.571926e+00 | 6.209416e+00 |-1.065299e+00 |-2.524896e+00 |-3.081979e+01 |-3.874842e+01 |
      19 | 5.021761e+00 | 2.186187e+00 |-2.793407e+00 |-6.527192e-02 |-2.202083e+00 | 2.821811e+00 |
      20 | 5.312848e+00 | 6.063844e+00 | 1.790436e+00 |-2.298707e+00 |-1.231089e+02 |-1.692708e+02 |
      21 | 7.620729e-01 | 2.210455e+00 | 9.977282e-01 | 1.575758e+00 |-6.437814e+01 | 4.018331e+01 |
      22 | 2.139926e+00 | 8.089108e-01 |-4.203656e+00 |-2.110688e+00 | 1.362861e+00 |-4.734402e+00 |
      23 | 5.726578e+00 | 7.606050e+00 | 1.946833e+00 |-5.276172e+00 |-4.778308e+01 | 5.484673e+02 |
      24 | 8.775118e+00 | 8.800055e+00 |-2.690379e+00 | 1.457299e+00 | 5.117452e+00 | 3.027201e+01 |
      25 | 7.375765e+00 | 2.552061e+00 |-2.415106e+00 | 2.315331e+00 |-8.419160e-01 | 2.357318e+00 |
      26 | 4.461364e+00 | 7.290309e+00 |-1.478420e+00 | 3.522345e+00 | 4.259421e+00 |-1.041152e+00 |
      27 | 4.993190e+00 | 9.775641e+00 |-5.936384e+00 | 1.389269e+00 | 1.273490e-01 |-2.936776e-02 |
      28 | 2.007771e+00 | 7.731908e+00 | 3.291263e-01 |-1.144380e+01 | 4.517506e+00 |-1.959718e+02 |
